lead_id,created_date,branch,channel,country_interested,service_type,counselor,budget_range,follow_up_count,status,last_update_date,cycle_days
LD00617,2026-06-18,Dhanmondi,Referral,UK,Visa Processing,Arafat,<5 Lakh,5,Visa Approved,2026-07-31,96
LD00618,2026-05-18,Uttara ,Website Form,USA,Study Abroad Consultation,Nusrat,5-10 Lakh,3,Contacted,2026-05-21,3
LD00619,2026-03-27,Chattogram,Seminar/Event,Canada,IELTS Preparation,Mim,<5 Lakh,3,Consultation Done,2026-04-12,16
LD00620,2025-07-14,Kalabagan,Facebook Ads,Australia,Study Abroad Consultation,Priya,5-10 Lakh,1,Contacted,2025-07-24,10
LD00621,2025-08-05,Chattogram,Google Ads,Australia,IELTS Preparation,Shuvo,5-10 Lakh,1,New,2025-08-19,14
LD00622,2025-12-30,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Shuvo,10-20 Lakh,5,Lost,2026-01-20,21
LD00623,2025-01-18,Kalabagan,Walk-in,Germany,IELTS Preparation,Priya,10-20 Lakh,4,Consultation Done,2025-01-18,0
LD00624,2025-04-11,Uttara,Referral,Malaysia,Study Abroad Consultation,Priya,20+ Lakh,2,Lost,2025-05-12,31
LD00625,2025-04-10,Dhanmondi,Referral,Germany,IELTS Preparation,Priya,10-20 Lakh,5,Visa Approved,2025-06-16,67
LD00626,2026-02-09,Kalabagan,Seminar/Event,Germany,IELTS Preparation,Priya,10-20 Lakh,2,Enrolled,2026-04-19,69
LD00627,2026-07-03,Kalabagan,Google Ads,USA,Visa Processing,Priya,5-10 Lakh,3,New,2026-07-13,10
LD00628,2026-03-11,Sylhet,Walk-in,Canada,IELTS Preparation,Tanvir,5-10 Lakh,2,New,2026-03-16,5
LD00629,2025-02-08,Kalabagan,Facebook Ads,Australia,Language Course,Rafi,10-20 Lakh,0,Lost,2025-02-20,12
LD00630,2025-04-01,Dhanmondi,Referral,UK,IELTS Preparation,Arafat,<5 Lakh,1,Contacted,2025-04-02,1
LD00631,2026-06-29,Uttara,Seminar/Event,Australia,IELTS Preparation,Arafat,5-10 Lakh,8,Enrolled,2026-07-31,120
LD00632,2025-02-14,Dhanmondi,Walk-in,Australia,Study Abroad Consultation,Arafat,10-20 Lakh,3,Lost,2025-03-21,35
LD00633,2025-09-26,Sylhet,Website Form,Canada,Study Abroad Consultation,Nusrat,<5 Lakh,2,Lost,2025-11-22,57
LD00634,2025-02-19,Chattogram,Facebook Ads,Australia,IELTS Preparation,Mim,5-10 Lakh,4,Enrolled,2025-07-13,144
LD00635,2025-10-10,Dhanmondi,Facebook Ads,Australia,IELTS Preparation,Mim,,2,New,2025-10-22,12
LD00636,2025-03-26,Uttara,Walk-in,Australia,Study Abroad Consultation,Mim,10-20 Lakh,4,Lost,2025-03-30,4
LD00637,2025-06-01,Kalabagan,Referral,UK,IELTS Preparation,Priya,<5 Lakh,2,Enrolled,2025-08-24,84
LD00638,2026-04-21,Uttara,Website Form,UK,IELTS Preparation,Mim,20+ Lakh,3,Lost,2026-04-27,6
LD00639,2026-03-09,Dhanmondi,Google Ads,UK,Language Course,Nusrat,,6,Enrolled,2026-04-13,35
LD00640,2025-09-10,Dhanmondi,Facebook Ads,USA,Language Course,Arafat,10-20 Lakh,4,Consultation Done,2025-09-24,14
LD00641,2025-07-01,Dhanmondi,Website Form,Australia,Study Abroad Consultation,Rafi,10-20 Lakh,2,Contacted,2025-07-11,10
LD00642,2025-09-04,Chattogram,Website Form,UK,IELTS Preparation,Rafi,10-20 Lakh,1,Contacted,2025-09-21,17
LD00643,2025-08-23,Kalabagan,Walk-in,Malaysia,Language Course,Priya,20+ Lakh,5,Enrolled,2025-09-28,36
LD00644,2025-12-07,Dhanmondi,Facebook Ads,Malaysia,Study Abroad Consultation,Shuvo,<5 Lakh,3,Lost,2025-12-16,9
LD00645,2026-06-05,Uttara,Google Ads,Canada,Study Abroad Consultation,Mim,<5 Lakh,1,New,2026-06-15,10
LD00646,2025-06-26,Chattogram ,Referral,Germany,Study Abroad Consultation,Rafi,10-20 Lakh,0,Visa Approved,2025-11-04,131
LD00647,2025-02-04,Sylhet,Referral,Canada,IELTS Preparation,Priya,10-20 Lakh,2,New,2025-02-07,3
LD00648,2025-08-06,Dhanmondi,Facebook Ads,UK,IELTS Preparation,Nusrat,5-10 Lakh,7,Consultation Done,2025-08-19,13
LD00649,2026-06-01,Uttara,Walk-in,Australia,Study Abroad Consultation,Shuvo,<5 Lakh,1,New,2026-06-19,18
LD00650,2025-09-18,Dhanmondi,Facebook Ads,Canada,IELTS Preparation,Rafi,5-10 Lakh,2,Contacted,2025-10-02,14
LD00651,2025-08-02,Kalabagan,Referral,Australia,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Enrolled,2025-09-25,54
LD00652,2025-01-21,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,5,Lost,2025-01-24,3
LD00653,2026-01-24,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Shuvo,<5 Lakh,6,Enrolled,2026-06-02,129
LD00654,2026-06-08,Chattogram,Facebook Ads,USA,IELTS Preparation,Rafi,<5 Lakh,4,Lost,2026-07-29,51
LD00655,2025-11-24,Chattogram,Google Ads,Canada,Study Abroad Consultation,Mim,5-10 Lakh,2,Enrolled,2026-02-18,86
LD00656,2025-02-24,Uttara,Facebook Ads,Australia,Study Abroad Consultation,Tanvir,<5 Lakh,1,New,2025-03-14,18
LD00657,2025-07-27,Kalabagan,Facebook Ads,Canada,Visa Processing,Shuvo,10-20 Lakh,2,Application Submitted,2025-10-08,73
LD00658,2025-07-19,Chattogram,Facebook Ads,Germany,IELTS Preparation,Priya,<5 Lakh,7,Lost,2025-08-18,30
LD00659,2025-01-02,Uttara,Website Form,Canada,Visa Processing,Shuvo,<5 Lakh,3,Lost,2025-01-26,24
LD00660,2025-11-22,Kalabagan,Referral,Australia,Study Abroad Consultation,Rafi,20+ Lakh,1,Lost,2025-11-28,6
LD00661,2025-08-21,Kalabagan,Website Form,Canada,Study Abroad Consultation,Mim,5-10 Lakh,6,Enrolled,2025-12-15,116
LD00662,2026-04-17,Kalabagan,Seminar/Event,Germany,Study Abroad Consultation,Tanvir,5-10 Lakh,2,Application Submitted,2026-07-31,106
LD00663,2025-12-24,Kalabagan,Google Ads,Australia,Study Abroad Consultation,Rafi,5-10 Lakh,3,New,2026-01-03,10
LD00664,2026-02-13,Kalabagan,Facebook Ads,Malaysia,IELTS Preparation,Arafat,20+ Lakh,4,Lost,2026-03-21,36
LD00665,2026-07-08,Kalabagan,Facebook Ads,Canada,Study Abroad Consultation,Mim,10-20 Lakh,2,Lost,2026-07-31,23
LD00666,2025-04-01,Kalabagan,Walk-in,Australia,Study Abroad Consultation,Rafi,20+ Lakh,3,New,2025-04-04,3
LD00667,2025-12-06,Kalabagan,Seminar/Event,UK,Visa Processing,Nusrat,10-20 Lakh,3,Consultation Done,2025-12-12,6
LD00668,2026-06-01,Kalabagan,Referral,Australia,IELTS Preparation,Rafi,5-10 Lakh,4,Enrolled,2026-07-30,59
LD00669,2025-09-15,Kalabagan,Google Ads,USA,Language Course,Nusrat,20+ Lakh,2,Consultation Done,2025-09-16,1
LD00670,2025-08-17,Uttara,Seminar/Event,Canada,Visa Processing,Mim,10-20 Lakh,4,Visa Approved,2025-09-23,37
LD00671,2025-11-11,Chattogram,Facebook Ads,Canada,IELTS Preparation,Shuvo,<5 Lakh,4,New,2025-11-18,7
LD00672,2025-05-14,Chattogram,Walk-in,Canada,Study Abroad Consultation,Nusrat,,2,Consultation Done,2025-06-01,18
LD00673,2025-03-17,Uttara,Google Ads,UK,Study Abroad Consultation,Mim,<5 Lakh,1,Lost,2025-04-04,18
LD00674,2025-01-07,Chattogram,Facebook Ads,Canada,Visa Processing,Tanvir,<5 Lakh,3,Enrolled,2025-04-07,90
LD00675,2026-01-22,Sylhet,Facebook Ads,UK,Study Abroad Consultation,Mim,10-20 Lakh,2,Lost,2026-02-18,27
LD00676,2025-07-22,Kalabagan,Walk-in,UK,IELTS Preparation,Tanvir,5-10 Lakh,5,Lost,2025-08-14,23
LD00677,2025-05-20,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Enrolled,2025-09-12,115
LD00678,2025-02-21,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Nusrat,<5 Lakh,3,Contacted,2025-03-02,9
LD00679,2026-01-03,Dhanmondi,Referral,UK,Study Abroad Consultation,Shuvo,5-10 Lakh,0,Visa Approved,2026-01-20,17
LD00680,2025-11-22,Kalabagan,Facebook Ads,USA,Visa Processing,Nusrat,10-20 Lakh,4,Enrolled,2026-03-13,111
LD00681,2025-09-01,Kalabagan,Website Form,UK,Visa Processing,Tanvir,<5 Lakh,2,Enrolled,2025-10-19,48
LD00682,2025-05-16,Kalabagan,Google Ads,UK,Language Course,Rafi,20+ Lakh,5,Lost,2025-07-02,47
LD00683,2025-03-08,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Rafi,5-10 Lakh,5,Visa Approved,2025-04-12,35
LD00684,2026-03-05,Dhanmondi,Website Form,Canada,Language Course,Shuvo,<5 Lakh,4,Consultation Done,2026-03-08,3
LD00685,2025-09-26,Uttara,Referral,Malaysia,Study Abroad Consultation,Priya,,5,Lost,2025-10-07,11
LD00686,2025-03-18,Sylhet,Walk-in,Germany,Study Abroad Consultation,rafi,20+ Lakh,3,Lost,2025-04-18,31
LD00687,2025-08-13,Uttara,Website Form,Canada,Visa Processing,Nusrat,5-10 Lakh,0,Consultation Done,2025-08-23,10
LD00688,2025-12-15,Chattogram,Seminar/Event,UK,Language Course,Rafi,10-20 Lakh,4,Lost,2026-01-08,24
LD00689,2025-11-10,Uttara,Walk-in,Australia,IELTS Preparation,Shuvo,10-20 Lakh,3,Consultation Done,2025-11-17,7
LD00690,2025-09-08,Kalabagan,Facebook Ads,UK,IELTS Preparation,Arafat,,2,Contacted,2025-09-23,15
LD00691,2025-02-08,Dhanmondi,Referral,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,5,Consultation Done,2025-02-22,14
LD00692,2026-04-09,Dhanmondi,Facebook Ads,UK,IELTS Preparation,Mim,10-20 Lakh,2,Application Submitted,2026-07-23,105
LD00693,2026-01-22,Kalabagan,Walk-in,UK,Study Abroad Consultation,Rafi,,3,Contacted,2026-02-09,18
LD00694,2025-12-18,Uttara,Facebook Ads,Malaysia,Study Abroad Consultation,Nusrat,20+ Lakh,2,Contacted,2026-01-05,18
LD00695,2026-06-13,Kalabagan ,Facebook Ads,Canada,Visa Processing,Rafi,10-20 Lakh,3,Application Submitted,2026-07-31,118
LD00696,2025-12-27,Dhanmondi,Facebook Ads,Germany,Study Abroad Consultation,Arafat,5-10 Lakh,2,Consultation Done,2025-12-30,3
LD00697,2025-09-15,Kalabagan,Website Form,Malaysia,Study Abroad Consultation,Mim,10-20 Lakh,3,Enrolled,2025-11-07,53
LD00698,2026-07-27,Sylhet,Google Ads,Germany,Visa Processing,Tanvir,10-20 Lakh,3,Application Submitted,2026-07-31,61
LD00699,2026-06-12,Kalabagan ,Website Form,Australia,IELTS Preparation,Rafi,<5 Lakh,3,Contacted,2026-06-21,9
LD00700,2026-07-03,Uttara,Website Form,Canada,Language Course,Arafat,<5 Lakh,2,Lost,2026-07-31,39
LD00701,2025-04-08,Chattogram,Referral,Malaysia,Language Course,Shuvo,5-10 Lakh,2,Lost,2025-04-26,18
LD00702,2025-12-05,Sylhet,Facebook Ads,Malaysia,Study Abroad Consultation,Nusrat,20+ Lakh,1,Consultation Done,2025-12-20,15
LD00703,2026-02-17,Dhanmondi,Google Ads,UK,Visa Processing,Nusrat,5-10 Lakh,4,Contacted,2026-02-25,8
LD00704,2026-03-22,Chattogram,Google Ads,Australia,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Enrolled,2026-06-03,73
LD00705,2025-08-08,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Priya,20+ Lakh,5,Lost,2025-10-04,57
LD00706,2026-06-23,Kalabagan,Website Form,UK,IELTS Preparation,Rafi,5-10 Lakh,7,New,2026-06-30,7
LD00707,2025-12-24,Kalabagan,Seminar/Event,Australia,IELTS Preparation,Nusrat,<5 Lakh,8,Application Submitted,2026-03-18,84
LD00708,2026-04-16,Uttara,Website Form,UK,Study Abroad Consultation,Arafat,10-20 Lakh,3,Consultation Done,2026-04-21,5
LD00709,2025-11-05,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,5,Application Submitted,2026-02-18,105
LD00710,2025-10-15,Dhanmondi,Referral,Germany,Visa Processing,Shuvo,20+ Lakh,2,Enrolled,2026-01-02,79
LD00711,2025-01-03,Chattogram,Website Form,USA,Study Abroad Consultation,Shuvo,<5 Lakh,4,Contacted,2025-01-06,3
LD00712,2026-04-24,Dhanmondi,Facebook Ads,Australia,IELTS Preparation,Rafi,5-10 Lakh,1,Enrolled,2026-05-11,17
LD00713,2025-01-12,Dhanmondi,Website Form,Germany,Study Abroad Consultation,Priya,<5 Lakh,4,Lost,2025-01-14,2
LD00714,2026-02-20,Kalabagan,Website Form,USA,Study Abroad Consultation,Rafi,10-20 Lakh,2,Application Submitted,2026-05-13,82
LD00715,2025-11-15,Uttara,Seminar/Event,Germany,Study Abroad Consultation,Priya,10-20 Lakh,3,Application Submitted,2026-02-16,93
LD00716,2026-04-07,Uttara,Referral,UK,Study Abroad Consultation,Priya,5-10 Lakh,4,Enrolled,2026-07-31,134
LD00717,2025-02-09,Kalabagan,Facebook Ads,Malaysia,Visa Processing,Rafi,5-10 Lakh,3,Lost,2025-02-26,17
LD00718,2026-06-26,Dhanmondi,Facebook Ads,Australia,IELTS Preparation,Rafi,5-10 Lakh,3,Lost,2026-07-14,18
LD00719,2026-01-06,Dhanmondi,Facebook Ads,Canada,Language Course,Priya,<5 Lakh,2,Contacted,2026-01-12,6
LD00720,2025-10-31,Kalabagan,Google Ads,USA,Study Abroad Consultation,Rafi,5-10 Lakh,3,New,2025-11-01,1
LD00721,2026-01-24,Kalabagan,Website Form,Australia,Study Abroad Consultation,Shuvo,5-10 Lakh,5,Contacted,2026-02-03,10
LD00722,2025-08-14,Uttara,Facebook Ads,UK,Study Abroad Consultation,Nusrat,20+ Lakh,3,Contacted,2025-08-27,13
LD00723,2025-03-11,Kalabagan,Website Form,USA,Visa Processing,Priya,20+ Lakh,3,Enrolled,2025-07-01,112
LD00724,2025-06-17,Dhanmondi,Seminar/Event,Canada,IELTS Preparation,Mim,<5 Lakh,2,Lost,2025-06-19,2
LD00725,2025-12-17,Chattogram,Seminar/Event,USA,IELTS Preparation,Rafi,10-20 Lakh,6,Lost,2026-02-06,51
LD00726,2026-01-12,Kalabagan,Referral,Germany,Visa Processing,Priya,5-10 Lakh,4,Lost,2026-02-03,22
LD00727,2025-03-01,Sylhet,Google Ads,Canada,Language Course,Shuvo,20+ Lakh,4,Contacted,2025-03-11,10
LD00728,2026-03-12,Dhanmondi,Referral,Malaysia,Study Abroad Consultation,Arafat,20+ Lakh,2,Consultation Done,2026-03-15,3
LD00729,2025-05-26,Sylhet,Google Ads,Australia,Study Abroad Consultation,Arafat,5-10 Lakh,3,Lost,2025-06-16,21
LD00730,2025-03-28,Kalabagan,Seminar/Event,UK,Visa Processing,Mim,10-20 Lakh,4,Contacted,2025-04-09,12
LD00731,2026-02-19,Sylhet,Walk-in,UK,Visa Processing,Arafat,10-20 Lakh,5,Contacted,2026-03-04,13
LD00732,2025-10-25,Uttara,Seminar/Event,Malaysia,IELTS Preparation,Mim,10-20 Lakh,0,Contacted,2025-10-29,4
LD00733,2026-01-01,Uttara,Website Form,Germany,Study Abroad Consultation,Arafat,5-10 Lakh,5,Consultation Done,2026-01-16,15
LD00734,2026-05-26,Kalabagan,Google Ads,Germany,Study Abroad Consultation,Tanvir,10-20 Lakh,3,Lost,2026-06-14,19
LD00735,2025-07-30,Kalabagan,Website Form,Canada,Study Abroad Consultation,Nusrat,5-10 Lakh,3,Contacted,2025-08-16,17
LD00736,2025-02-17,Dhanmondi,Walk-in,UK,IELTS Preparation,Rafi,20+ Lakh,5,Lost,2025-03-08,19
LD00737,2025-06-20,Dhanmondi,Facebook Ads,Canada,Visa Processing,Rafi,<5 Lakh,4,Lost,2025-08-06,47
LD00738,2025-09-04,Kalabagan,Google Ads,Australia,Study Abroad Consultation,Tanvir,5-10 Lakh,5,Contacted,2025-09-07,3
LD00739,2026-07-13,Kalabagan,Facebook Ads,UK,Language Course,Priya,,5,Lost,2026-07-31,21
LD00740,2026-02-18,Kalabagan,Facebook Ads,UK,IELTS Preparation,Shuvo,<5 Lakh,2,Enrolled,2026-03-23,33
LD00741,2025-06-30,Kalabagan,Walk-in,UK,Language Course,Nusrat,10-20 Lakh,1,Consultation Done,2025-07-08,8
LD00742,2026-03-30,Sylhet,Referral,Australia,Study Abroad Consultation,Priya,20+ Lakh,2,Lost,2026-05-11,42
LD00743,2025-05-09,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Arafat,<5 Lakh,4,Visa Approved,2025-06-26,48
LD00744,2025-02-26,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Arafat,10-20 Lakh,3,Enrolled,2025-06-08,102
LD00745,2026-07-05,Uttara,Website Form,Canada,IELTS Preparation,Tanvir,<5 Lakh,1,Visa Approved,2026-07-31,127
LD00746,2026-02-18,Sylhet,Facebook Ads,Germany,IELTS Preparation,Nusrat,5-10 Lakh,4,Contacted,2026-03-01,11
LD00747,2026-05-07,Kalabagan,Referral,Canada,IELTS Preparation,Mim,<5 Lakh,2,Enrolled,2026-07-31,132
LD00748,2025-07-23,Chattogram,Referral,Canada,Study Abroad Consultation,Tanvir,5-10 Lakh,1,Enrolled,2025-08-25,33
LD00749,2025-01-29,Kalabagan,Google Ads,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,1,Contacted,2025-02-11,13
LD00750,2025-02-14,Sylhet,Google Ads,UK,Visa Processing,Nusrat,<5 Lakh,7,Consultation Done,2025-02-21,7
LD00751,2025-10-08,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Nusrat,,2,Lost,2025-10-17,9
LD00752,2025-07-20,Uttara,Google Ads,Australia,Visa Processing,Shuvo,5-10 Lakh,1,Consultation Done,2025-07-22,2
LD00753,2026-07-11,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Tanvir,5-10 Lakh,2,Lost,2026-07-26,15
LD00754,2025-04-23,Kalabagan,Google Ads,Malaysia,Study Abroad Consultation,Shuvo,<5 Lakh,2,Lost,2025-05-18,25
LD00755,2026-05-18,Uttara,Website Form,Canada,IELTS Preparation,Priya,20+ Lakh,4,Lost,2026-07-06,49
LD00756,2025-03-16,Chattogram,Google Ads,Australia,Study Abroad Consultation,Tanvir,<5 Lakh,3,Consultation Done,2025-03-28,12
LD00757,2025-08-28,Dhanmondi,Google Ads,Germany,IELTS Preparation,Mim,10-20 Lakh,4,Visa Approved,2026-01-16,141
LD00758,2025-12-20,Uttara,Facebook Ads,UK,Study Abroad Consultation,Rafi,5-10 Lakh,7,New,2026-01-05,16
LD00759,2026-06-20,Kalabagan,Website Form,UK,Study Abroad Consultation,Nusrat,10-20 Lakh,4,Consultation Done,2026-06-26,6
LD00760,2025-07-05,Kalabagan,Facebook Ads,USA,Study Abroad Consultation,Mim,5-10 Lakh,3,New,2025-07-18,13
LD00761,2026-01-23,Uttara,Google Ads,Australia,Study Abroad Consultation,Rafi,10-20 Lakh,5,Lost,2026-03-12,48
LD00762,2025-01-23,Kalabagan,Website Form,USA,Visa Processing,Mim,10-20 Lakh,2,Lost,2025-03-01,37
LD00763,2025-01-07,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Priya,10-20 Lakh,1,Contacted,2025-01-15,8
LD00764,2025-08-15,Dhanmondi,Website Form,Canada,Study Abroad Consultation,Mim,10-20 Lakh,3,Enrolled,2025-08-30,15
LD00765,2025-12-08,Kalabagan,Referral,Canada,Study Abroad Consultation,Mim,10-20 Lakh,0,Consultation Done,2025-12-24,16
LD00766,2025-02-13,Dhanmondi,Facebook Ads,UK,IELTS Preparation,Rafi,<5 Lakh,4,Enrolled,2025-03-14,29
LD00767,2026-03-30,Dhanmondi,Google Ads,UK,IELTS Preparation,Shuvo,<5 Lakh,3,Lost,2026-05-11,42
LD00768,2025-04-28,Chattogram,Referral,Canada,Study Abroad Consultation,Tanvir,5-10 Lakh,6,Consultation Done,2025-05-01,3
LD00769,2025-01-20,Dhanmondi,Referral,USA,Study Abroad Consultation,Shuvo,5-10 Lakh,4,Enrolled,2025-05-21,121
LD00770,2025-09-01,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Priya,<5 Lakh,2,New,2025-09-15,14
LD00771,2026-04-05,Kalabagan,Facebook Ads,Australia,Study Abroad Consultation,Rafi,10-20 Lakh,2,Visa Approved,2026-07-08,94
LD00772,2025-05-18,Dhanmondi,Website Form,Canada,Study Abroad Consultation,Arafat,5-10 Lakh,4,Lost,2025-07-15,58
LD00773,2025-04-27,Sylhet,Walk-in,UK,Study Abroad Consultation,Arafat,10-20 Lakh,3,Consultation Done,2025-05-08,11
LD00774,2025-09-01,Kalabagan,Referral,Canada,IELTS Preparation,Shuvo,20+ Lakh,3,Lost,2025-09-10,9
LD00775,2025-07-06,Dhanmondi,Google Ads,Australia,Study Abroad Consultation,Mim,10-20 Lakh,0,Visa Approved,2025-08-12,37
LD00776,2026-06-29,Uttara,Website Form,Malaysia,Visa Processing,Tanvir,<5 Lakh,3,New,2026-07-15,16
LD00777,2026-07-24,Uttara,Website Form,Germany,Study Abroad Consultation,Priya,10-20 Lakh,2,Lost,2026-07-31,7
LD00778,2025-10-27,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Priya,10-20 Lakh,4,Contacted,2025-11-12,16
LD00779,2026-01-20,Dhanmondi,Walk-in,UK,Visa Processing,Mim,5-10 Lakh,6,Contacted,2026-01-26,6
LD00780,2025-09-02,Sylhet,Facebook Ads,UK,Study Abroad Consultation,Shuvo,10-20 Lakh,2,Contacted,2025-09-17,15
LD00781,2025-05-03,Uttara,Google Ads,UK,Study Abroad Consultation,Shuvo,20+ Lakh,1,New,2025-05-15,12
LD00782,2025-05-09,Dhanmondi ,Facebook Ads,UK,Study Abroad Consultation,Shuvo,5-10 Lakh,1,Contacted,2025-05-15,6
LD00783,2025-01-11,Kalabagan,Website Form,UK,IELTS Preparation,Shuvo,10-20 Lakh,4,Lost,2025-02-21,41
LD00784,2025-04-06,Dhanmondi,Walk-in,Australia,IELTS Preparation,Shuvo,5-10 Lakh,6,Contacted,2025-04-18,12
LD00785,2025-02-07,Kalabagan,Website Form,Australia,IELTS Preparation,Priya,5-10 Lakh,2,Enrolled,2025-02-28,21
LD00786,2025-03-15,Kalabagan,Website Form,Australia,Language Course,Rafi,<5 Lakh,6,Lost,2025-04-22,38
LD00787,2025-07-08,Uttara,Website Form,UK,Study Abroad Consultation,Nusrat,<5 Lakh,7,Lost,2025-08-27,50
LD00788,2025-07-22,Kalabagan,Referral,USA,Study Abroad Consultation,Shuvo,5-10 Lakh,1,Enrolled,2025-10-13,83
LD00789,2025-09-08,Sylhet,Google Ads,Canada,Language Course,Shuvo,<5 Lakh,1,Lost,2025-09-16,8
LD00790,2025-03-30,Kalabagan,Google Ads,UK,Study Abroad Consultation,Priya,<5 Lakh,3,Contacted,2025-04-18,19
LD00791,2025-07-07,Chattogram,Seminar/Event,UK,Language Course,Arafat,10-20 Lakh,8,Application Submitted,2025-09-21,76
LD00792,2026-03-07,Dhanmondi,Facebook Ads,Australia,Visa Processing,Tanvir,20+ Lakh,5,Lost,2026-04-14,38
LD00793,2026-04-07,Uttara,Google Ads,Germany,Study Abroad Consultation,Mim,<5 Lakh,5,Application Submitted,2026-06-14,68
LD00794,2025-04-13,Kalabagan,Walk-in,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Visa Approved,2025-06-11,59
LD00795,2026-01-22,Kalabagan,Google Ads,UK,Study Abroad Consultation,Mim,5-10 Lakh,1,Contacted,2026-02-07,16
LD00796,2026-06-15,Kalabagan,Website Form,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,2,New,2026-07-01,16
LD00797,2025-02-17,Uttara,Seminar/Event,UK,Visa Processing,Priya,<5 Lakh,1,Consultation Done,2025-02-27,10
LD00798,2025-12-03,Kalabagan,Facebook Ads,Australia,IELTS Preparation,Priya,5-10 Lakh,2,Consultation Done,2025-12-21,18
LD00799,2025-09-29,Uttara,Walk-in,Australia,Study Abroad Consultation,Mim,10-20 Lakh,1,Enrolled,2025-10-25,26
LD00800,2026-02-09,Dhanmondi,Referral,UK,Study Abroad Consultation,Nusrat,20+ Lakh,4,Enrolled,2026-04-24,74
LD00801,2025-03-08,Uttara,Facebook Ads,Malaysia,Study Abroad Consultation,Tanvir,10-20 Lakh,2,Enrolled,2025-03-25,17
LD00802,2025-11-17,Kalabagan,Google Ads,Germany,Visa Processing,Nusrat,10-20 Lakh,4,Contacted,2025-11-23,6
LD00803,2025-07-22,Uttara,Google Ads,UK,Visa Processing,Mim,10-20 Lakh,2,Contacted,2025-08-10,19
LD00804,2026-01-07,Kalabagan,Google Ads,Canada,IELTS Preparation,Tanvir,10-20 Lakh,3,Lost,2026-01-17,10
LD00805,2026-02-11,Sylhet,Website Form,Canada,IELTS Preparation,Arafat,<5 Lakh,3,Consultation Done,2026-02-14,3
LD00806,2025-10-27,Chattogram,Google Ads,Australia,Visa Processing,Rafi,5-10 Lakh,1,New,2025-10-30,3
LD00807,2025-04-05,Uttara,Walk-in,UK,Visa Processing,Priya,10-20 Lakh,2,Lost,2025-05-30,55
LD00808,2025-04-09,Uttara,Seminar/Event,UK,IELTS Preparation,Nusrat,10-20 Lakh,4,Contacted,2025-04-19,10
LD00809,2026-01-13,Dhanmondi,Referral,Canada,Study Abroad Consultation,Arafat,<5 Lakh,1,Lost,2026-01-31,18
LD00810,2025-03-20,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Shuvo,10-20 Lakh,6,Lost,2025-05-04,45
LD00811,2025-02-05,Chattogram,Referral,UK,Study Abroad Consultation,Shuvo,5-10 Lakh,6,Enrolled,2025-04-25,79
LD00812,2025-01-08,Uttara,Seminar/Event,UK,Study Abroad Consultation,Tanvir,20+ Lakh,5,Lost,2025-03-04,55
LD00813,2025-07-06,Dhanmondi,Referral,Canada,Study Abroad Consultation,mim,<5 Lakh,1,Enrolled,2025-09-15,71
LD00814,2026-06-06,Chattogram,Google Ads,Canada,Study Abroad Consultation,Tanvir,10-20 Lakh,2,Enrolled,2026-07-18,42
LD00815,2026-06-15,Kalabagan,Walk-in,Canada,Language Course,Nusrat,10-20 Lakh,2,Consultation Done,2026-06-26,11
LD00816,2025-06-09,Chattogram,Seminar/Event,Canada,IELTS Preparation,Rafi,<5 Lakh,4,Visa Approved,2025-09-28,111
LD00817,2025-12-12,Dhanmondi,Google Ads,Canada,Visa Processing,Mim,10-20 Lakh,3,Lost,2026-01-14,33
LD00818,2026-01-24,Uttara,Website Form,Canada,Study Abroad Consultation,Rafi,5-10 Lakh,2,Visa Approved,2026-02-22,29
LD00819,2025-07-23,Kalabagan,Facebook Ads,Canada,Study Abroad Consultation,Shuvo,5-10 Lakh,4,Consultation Done,2025-08-02,10
LD00820,2025-08-30,Kalabagan,Website Form,Australia,Study Abroad Consultation,Priya,<5 Lakh,5,Lost,2025-10-06,37
LD00821,2025-05-12,Sylhet,Facebook Ads,Australia,Study Abroad Consultation,Arafat,20+ Lakh,1,Enrolled,2025-08-22,102
LD00822,2025-04-15,Chattogram,Facebook Ads,USA,Study Abroad Consultation,Rafi,5-10 Lakh,2,Consultation Done,2025-04-30,15
